,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expressed,fdr_hypothesis,fdr,corrected
6127,GJB4,127534,NOT,1.0872449061578735e-09,6.0,True,True,1.093136886055739e-08,False
6128,BRE,9577,NOT,0.6887064978279134,596.0,False,False,0.7217109341812074,False
6129,CNTNAP2,26047,NORMAL,1.4171696914869546e-08,50.0,True,True,6.131131084507173e-08,False
6130,TMCO1,54499,NOT,1.0622989525465147e-06,132.0,True,True,2.7430813759702605e-06,False
6131,KDM2B,84678,NOT,0.019236284445921053,395.0,True,True,0.0263714636777467,False
6132,ANXA5,308,NORMAL,1.1100954635085601e-09,0.0,True,True,1.093136886055739e-08,False
6133,MAPRE1,22919,NORMAL,0.00023075330864934335,256.0,True,True,0.00041112452629098666,False
6134,ZNF189,7743,NOT,7.717175285145015e-05,228.0,True,True,0.00014761842880177184,False
6135,GFOD1,54438,NOT,0.0009134810927946906,294.0,True,True,0.0014944962475640002,False
6136,KCNJ8,3764,NOT,1.5591448621045152e-09,12.0,True,True,1.2209531955056891e-08,False
6137,STMN3,50861,NOT,0.0030890971157175044,331.0,True,True,0.004700031061654033,False
6138,EDNRB,1910,NOT,7.556929455863566e-10,0.0,True,True,1.093136886055739e-08,False
6139,TRMT61A,115708,NORMAL,0.007178714156112412,359.0,True,True,0.010430842547467569,False
6140,GPANK1,7918,NOT,0.11260474216295435,453.0,False,False,0.13764838104054886,False
6141,AC114546.1,0,NORMAL,3.569937627340362e-09,26.0,True,True,2.107678486408228e-08,False
6142,MYOZ1,58529,NOT,7.556929455863566e-10,0.0,True,True,1.093136886055739e-08,False
6143,ATF4,468,NOT,0.06044101211218558,443.0,False,False,0.07710793030337537,False
6144,CA14,23632,NOT,0.23455706834742884,493.0,False,False,0.2714344423701657,False
6145,ZNF524,147807,NOT,6.047817402222707e-05,222.0,True,True,0.00011724390710739227,False
6146,FXYD1,5348,NORMAL,8.031090907046913e-10,1.0,True,True,1.093136886055739e-08,False
6147,ZC3H11A,9877,NOT,0.0004183144716904728,244.0,True,True,0.0007179001091250663,False
6148,CBX6,23466,NOT,0.6958284390633942,597.0,False,False,0.7281582435679752,False
6149,ZNF835,90485,NOT,2.4096796563214802e-06,149.0,True,True,5.8432363928907315e-06,False
6150,ADIRF,10974,NORMAL,9.06805772149548e-10,3.0,True,True,1.093136886055739e-08,False
6151,SLC30A3,7781,NOT,0.018263773386204194,393.0,True,True,0.025135969187912482,False
6152,FPR2,2358,NOT,7.556929455863566e-10,0.0,True,True,1.093136886055739e-08,False
