,Hugo_Symbol,Entrez_Gene_Id,Normality_NormalSample,Normality_CancerSample,p,stat,expressed,fdr_hypothesis,fdr,corrected
4154,TRMT11,60487,NORMAL,NOT,0.9066991690630365,1232.5,False,False,0.9207198398071151,False
4155,PIH1D2,120379,NOT,NORMAL,4.3169401735250605e-08,2045.0,True,True,1.1289001134975086e-07,False
4156,FANCF,2188,NORMAL,NOT,2.855519726741978e-07,505.0,True,True,6.803075890148623e-07,False
4157,GAS2L2,246176,NOT,NOT,4.72191715544066e-13,2299.5,True,True,2.6094407824772037e-12,False
4158,PI4KB,5298,NOT,NOT,0.7668522743532427,1293.5,False,False,0.795914392171544,False
4159,CCDC3,83643,NOT,NOT,0.39072902353917993,1375.0,False,False,0.43516497206107496,False
4160,THAP7,80764,NOT,NOT,0.00011458105571541083,690.0,True,True,0.00020454559651583365,False
4161,UTP18,51096,NORMAL,NORMAL,1.8367154339948033e-10,325.0,True,True,6.45953972358718e-10,False
4162,UBE2E1,7324,NOT,NOT,0.0010306644436356264,1726.5,True,True,0.0016525643460001342,False
4163,PYCRL,65263,NOT,NOT,6.170198292766588e-14,161.0,True,True,4.126425552468912e-13,False
4164,NOL11,25926,NOT,NOT,1.992189850846937e-13,183.5,True,True,1.1868876165720177e-12,False
4165,ZNF385C,201181,NORMAL,NOT,0.023110956806375833,920.0,True,True,0.03116398242370951,False
4166,EMC6,83460,NOT,NOT,0.016421224922672905,901.5,True,True,0.02260191702168548,False
4167,AC021218.2,0,NORMAL,NOT,4.650464389845131e-08,2037.5,True,True,1.2122645591455356e-07,False
4168,TOP1,7150,NOT,NOT,0.7199529591551912,1302.5,False,False,0.7521068282994011,False
4169,C1QTNF4,114900,NOT,NOT,0.00024466910683911057,1782.5,True,True,0.0004202703411201785,False
4170,ZNF484,83744,NOT,NOT,0.681629801025429,1190.0,False,False,0.7168475047490778,False
4171,KIAA2026,158358,NOT,NOT,2.651745227725943e-07,1997.0,True,True,6.339454581921625e-07,False
4172,TMED6,146456,NORMAL,NOT,1.3471898657827894e-15,2409.5,True,True,1.5161371290812826e-14,False
4173,PTPRO,5800,NOT,NOT,1.7139731089643673e-12,2274.0,True,True,8.47178410797123e-12,False
4174,LSM1,27257,NOT,NOT,1.8969724062696939e-06,558.5,True,True,4.130870833015122e-06,False
4175,INTS6,26512,NORMAL,NORMAL,0.022897240650972824,919.5,True,True,0.030904889351330154,False
4176,MSANTD3,91283,NOT,NOT,1.0065354247936164e-08,418.5,True,True,2.8328281953909617e-08,False
4177,HOXC6,3223,NORMAL,NOT,9.90447092594029e-13,215.0,True,True,5.119680887062194e-12,False
4178,CCDC84,338657,NOT,NOT,4.69987382063249e-06,1914.5,True,True,9.784323963777569e-06,False
4179,ZNF112,7771,NOT,NOT,0.26846653315514624,1089.0,False,False,0.30823894835065163,False
4180,VSIG1,340547,NORMAL,NOT,0.028357341244705417,1568.5,True,True,0.037735043442852674,False
4181,ZNF829,374899,NORMAL,NORMAL,0.4359470763277047,1136.5,False,False,0.48044566147120243,False
4182,IQGAP1,8826,NOT,NORMAL,1.2336893410350668e-07,2017.5,True,True,3.071776213084575e-07,False
4183,FAM155A,728215,NOT,NOT,2.9104427393672376e-07,1994.5,True,True,6.9253303474613e-07,False
4184,TXNRD3,114112,NOT,NOT,3.125254717375711e-05,645.5,True,True,5.951799718075781e-05,False
4185,C5orf17,0,NOT,NOT,0.004065567459856519,1665.0,True,True,0.006056107430285536,False
4186,SEC24B,10427,NOT,NOT,0.00025787889307455296,1780.5,True,True,0.00044190634638060735,False
4187,NOD1,10392,NORMAL,NORMAL,3.113070689092951e-17,2475.0,True,True,1.3264071441316098e-15,False
4188,NDOR1,27158,NOT,NOT,0.062181108118425914,979.0,False,False,0.07893729003129098,False
4189,TIPIN,54962,NORMAL,NOT,6.782387521998275e-11,303.0,True,True,2.5531868477341516e-10,False
4190,MTERFD3,80298,NORMAL,NOT,3.109016942716859e-09,2110.0,True,True,9.338944128922577e-09,False
4191,APITD1,378708,NOT,NOT,0.0003645496222451192,732.5,True,True,0.0006145193915187778,False
4192,RNF145,153830,NOT,NOT,5.787599561034737e-17,2464.5,True,True,1.6318250909661168e-15,False
4193,KHNYN,23351,NOT,NOT,0.8523145119919793,1222.5,False,False,0.872227129630701,False
4194,C5AR2,27202,NOT,NOT,5.978914224436698e-13,2295.0,True,True,3.2192084067897007e-12,False
4195,DYNC1LI2,1783,NOT,NOT,1.68054483283332e-09,2124.5,True,True,5.216785622137574e-09,False
4196,UROC1,131669,NOT,NOT,0.533394767632545,1338.5,False,False,0.5762598255692443,False
4197,DNAH17-AS1,0,NORMAL,NOT,0.007121124229845591,859.5,True,True,0.010286597631121547,False
4198,GLB1L2,89944,NOT,NOT,0.007949850188037457,1635.5,True,True,0.011411189198034655,False
4199,KERA,11081,NOT,NOT,0.0027664433461787427,1684.5,True,True,0.004206523088217391,False
4200,L2HGDH,79944,NOT,NORMAL,3.4512059201920563e-15,107.5,True,True,3.312199015073209e-14,False
4201,CD2,914,NORMAL,NOT,7.164530829648392e-07,1969.5,True,True,1.630447504705256e-06,False
4202,PKMYT1,9088,NOT,NOT,2.864151535120823e-17,23.5,True,True,1.3176754528214198e-15,False
4203,EMC2,9694,NORMAL,NOT,0.9505203736685504,1259.5,False,False,0.9591884478195315,False
4204,IL7R,3575,NORMAL,NOT,8.923297503524445e-14,2332.0,True,True,5.762615490593824e-13,False
4205,NDUFA7,4701,NOT,NOT,0.3361542169335281,1110.0,False,False,0.3791959694181637,False
4206,ADI1,55256,NORMAL,NOT,0.05186323565377943,1532.5,False,False,0.06654953744136281,False
4207,SEMA3G,56920,NORMAL,NORMAL,1.3862935509335433e-16,2449.5,True,True,2.6257536235859162e-15,False
4208,SLITRK2,84631,NOT,NOT,1.1272135375272151e-07,2020.0,True,True,2.816810915779349e-07,False
4209,DUSP4,1846,NORMAL,NOT,0.00035082694019036696,1769.0,True,True,0.0005925435463227013,False
4210,TENM4,26011,NORMAL,NOT,1.9459551160733922e-13,183.0,True,True,1.1617626454539196e-12,False
4211,KRAS,3845,NOT,NOT,2.9393026956754833e-05,643.5,True,True,5.61872901048954e-05,False
4212,ZNF891,101060200,NORMAL,NOT,0.0016870714139664367,794.0,True,True,0.0026405869961284942,False
4213,PHF20,51230,NOT,NORMAL,0.003782513236774493,1670.5,True,True,0.005659471981771041,False
4214,ADAMTS6,11174,NOT,NOT,0.005821960253566692,1650.5,True,True,0.008510484763639383,False
4215,DNER,92737,NOT,NOT,0.40223894691959994,1372.0,False,False,0.44688904804399565,False
4216,TADA2A,6871,NOT,NOT,5.4189912894771874e-05,664.0,True,True,0.00010027107382789032,False
4217,NHSL1,57224,NOT,NOT,1.3181866843226556e-05,1882.5,True,True,2.6170003679452757e-05,False
4218,MYCBP,26292,NOT,NORMAL,0.03342390280639193,941.0,True,True,0.044019176024758466,False
4219,ERO1LB,56605,NOT,NOT,0.04707655954783532,1538.5,True,False,0.0608171975911498,True
4220,ATF7,11016,NOT,NOT,2.751953025338251e-10,2166.0,True,True,9.479559025467258e-10,False
4221,KCNRG,283518,NORMAL,NOT,1.8892877823650786e-10,2174.5,True,True,6.633627325275758e-10,False
4222,TCEANC2,127428,NORMAL,NOT,0.35554447933597744,1115.5,False,False,0.3992998496804236,False
4223,ZNF256,10172,NOT,NOT,4.409681230048494e-05,657.0,True,True,8.25501118867444e-05,False
4224,AL009178.1,0,NORMAL,NOT,7.001012549587573e-08,2032.5,True,True,1.7920061015576428e-07,False
4225,GRAMD3,65983,NORMAL,NOT,0.0017890736499307392,1703.5,True,True,0.0027911358532063143,False
4226,DOCK10,55619,NORMAL,NOT,3.918745459837169e-09,2104.5,True,True,1.1595808122419852e-08,False
4227,CYP3A7,1551,NOT,NOT,1.8201651991287653e-14,2362.0,True,True,1.3999787003949316e-13,False
4228,NLGN4Y,22829,NOT,NOT,0.4062084552449253,1129.5,False,False,0.450661554450972,False
4229,SGK223,0,NORMAL,NOT,0.38689606281587774,1376.0,False,False,0.4313648710500889,False
4230,CNDP2,55748,NOT,NOT,1.4445343986744833e-05,1879.5,True,True,2.856821034585197e-05,False
4231,RP1L1,94137,NOT,NOT,0.13914993694735742,1465.0,False,False,0.1675044352746014,False
4232,HPSE2,60495,NOT,NOT,1.0635215794632363e-11,2236.5,True,True,4.549056962689011e-11,False
4233,XYLT1,64131,NOT,NORMAL,0.22106651927519005,1072.0,False,False,0.2575481602696863,False
4234,STAMBP,10617,NORMAL,NOT,4.5016413354485997e-13,199.5,True,True,2.4972978185573073e-12,False
4235,ZNF358,140467,NORMAL,NOT,2.7245948715008267e-05,1859.0,True,True,5.225063988141295e-05,False
4236,COL1A2,1278,NOT,NOT,3.0807448754831274e-05,645.0,True,True,5.869622556961622e-05,False
4237,PPP1R1A,5502,NORMAL,NOT,0.010329908527072466,1622.5,True,True,0.014612608074449463,False
4238,ANAPC1,64682,NOT,NOT,1.538196896101591e-13,178.5,True,True,9.402813651859513e-13,False
4239,AP2B1,163,NOT,NOT,0.0016860946089940234,1706.0,True,True,0.00263929724269407,False
4240,ARL8A,127829,NORMAL,NOT,1.3906734692071791e-08,2073.5,True,True,3.841977319775151e-08,False
4241,SH3BP4,23677,NOT,NOT,0.0007671417228940796,761.5,True,True,0.0012458750834817359,False
4242,SIT1,27240,NORMAL,NOT,0.005522930798950331,1653.0,True,True,0.00809782970224639,False
4243,ANK3,288,NOT,NORMAL,5.10327222225103e-07,1979.0,True,True,1.1808066921964444e-06,False
4244,TBC1D8,11138,NORMAL,NOT,0.26111053073324864,1086.5,False,False,0.3004118826784462,False
4245,MAEA,10296,NORMAL,NOT,0.012561155811089192,887.5,True,True,0.017558987428108574,False
4246,BEST1,7439,NOT,NOT,3.6584447219853865e-15,2391.5,True,True,3.472507284192173e-14,False
4247,MAP9,79884,NOT,NOT,0.10893343706023897,1483.0,False,False,0.13346820887936262,False
4248,LMNB2,84823,NOT,NOT,3.303619777983276e-17,26.0,True,True,1.3375205332542975e-15,False
4249,MED12,9968,NOT,NOT,0.41196762648413365,1130.5,False,False,0.45639240147197774,False
4250,DNAJC9,23234,NORMAL,NORMAL,4.067386883567257e-17,29.5,True,True,1.4581909412566718e-15,False
4251,TBC1D8B,54885,NORMAL,NOT,0.7122293706866953,1304.0,False,False,0.7449757167153283,False
4252,TRIM38,10475,NOT,NOT,1.845642997524061e-08,2066.5,True,True,5.027846354978689e-08,False
4253,AATF,26574,NOT,NOT,1.6481183290710566e-13,180.0,True,True,9.989910222702631e-13,False
4254,PLXNB2,23654,NOT,NOT,0.9670025166017673,1243.5,False,False,0.9725773748089337,False
4255,CUL9,23113,NORMAL,NORMAL,0.4399627439777465,1362.5,False,False,0.48433944874866897,False
4256,C17orf97,400566,NOT,NORMAL,9.670838703591781e-07,1961.0,True,True,2.170222637107665e-06,False
4257,TSPAN32,10077,NORMAL,NOT,1.7831787132605548e-15,2404.5,True,True,1.9073939487044015e-14,False
4258,KCNMB3,27094,NORMAL,NOT,1.287553008035806e-08,424.5,True,True,3.570794383338987e-08,False
