,Hugo_Symbol,Entrez_Gene_Id,FC,log2FC,ABS,segnificant,expressed,segnificance (-log10)
136,AC068987.1,0,4.074795842613215,2.0267277785516007,2.0267277785516007,1.0,over expressed,6.9929736625490975
137,APOBEC3G,60489,1.047237563754909,0.06658875189061324,0.06658875189061324,0.0,not expressed,0.08988778094798568
138,SLC7A2,6542,0.42865372464036955,-1.2221154156268845,1.2221154156268845,1.0,under expressed,5.293552237029929
139,IQCH,64799,0.8451460375313997,-0.24272744057143197,0.24272744057143197,0.0,not expressed,0.4295789799147599
140,FAM83G,644815,2.642516055432841,1.4019122371795654,1.4019122371795654,1.0,over expressed,7.016052322255836
141,CCNA2,890,12.71473513340497,3.668429503773172,3.668429503773172,1.0,over expressed,9.095225458117138
142,PSMC1,5700,1.420630989212712,0.5065318612880959,0.5065318612880959,0.0,not expressed,6.629054470315612
143,TGIF1,7050,1.3452321988424052,0.4278552160573566,0.4278552160573566,0.0,not expressed,3.538834322622853
144,C18orf21,83608,1.418451247844156,0.504316566049598,0.504316566049598,0.0,not expressed,4.008069623030448
145,CD180,4064,0.7208322202815166,-0.47226459566507856,0.47226459566507856,0.0,not expressed,1.1163494022277787
146,TDRKH,11022,1.4142838494215426,0.5000717008089398,0.5000717008089398,0.0,not expressed,0.3880963331297035
147,TXNDC15,79770,0.5954289056651205,-0.7479988346021869,0.7479988346021869,1.0,under expressed,8.652069665762037
148,RP11-849F2.7,0,0.9140993819049015,-0.12957706966202961,0.12957706966202961,0.0,not expressed,0.7898561101087929
149,CTNNA3,29119,1.1092858378004495,0.14963116319355613,0.14963116319355613,0.0,not expressed,0.5837940714468735
