,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression
13489,SLC38A2,54407.0,ND,0.0001845197044596481,733.0,expressed
13490,EFNB1,1947.0,ND,0.004139293924196521,866.5,expressed
13491,MAF1,84232.0,ND,0.20889267661975908,1132.0,not
13492,ZNF519,162655.0,ND,1.6298915452463013e-06,574.5,expressed
13493,STAG2,10735.0,ND,0.20303907918898123,1129.0,not
13494,TTC21A,199223.0,NOT,0.9999999999999647,2335.5,not
13495,ARF6,382.0,NOT,0.0008142331886919753,792.5,expressed
13496,FGFBP2,83888.0,ND,0.9997631729413462,1756.5,not
13497,CWC25,54883.0,NOT,0.9999999812715196,2047.5,not
13498,NCEH1,57552.0,NOT,0.9999994243442465,1955.0,not
13499,PLAUR,5329.0,NOT,0.9998315313007209,1769.5,not
13500,SULT1A3,6818.0,ND,0.9999999999976565,2252.5,not
13501,SMIM14,201895.0,ND,0.9999999988662968,2116.5,not
13502,R3HCC1L,27291.0,NOT,0.817717413941218,1381.0,not
13503,RP11-796G6.2,0.0,ND,0.9999999194628407,2009.5,not
13504,TCEAL4,79921.0,ND,0.999999999390286,2131.0,not
13505,HIST1H2AD,3013.0,NOT,0.030346505495742956,981.5,expressed
13506,ADORA2B,136.0,NOT,0.00020513328315807853,737.0,expressed
13507,YTHDF1,54915.0,NOT,3.696531911249197e-07,531.5,expressed
13508,AACS,65985.0,NOT,3.699056982855442e-08,469.0,expressed
13509,RP11-1102P16.1,0.0,ND,0.20456737826466947,1130.5,not
13510,TTC39B,158219.0,NOT,0.9557086373278756,1496.5,not
13511,YIF1B,90522.0,NOT,2.8183541178254484e-11,299.0,expressed
13512,JSRP1,126306.0,NOT,0.11582050706946295,1076.0,not
13513,DACH2,117154.0,ND,0.9962208930227885,1633.5,not
13514,ZC3H7A,29066.0,ND,0.9999999999955086,2239.0,not
13515,SCARA3,51435.0,NOT,0.9850585094661747,1564.5,not
13516,PTPRJ,5795.0,NOT,0.9999999942969723,2077.5,not
13517,TRPM1,4308.0,NOT,0.9977209063608402,1659.0,not
13518,HID1,283987.0,NOT,0.9999999999573213,2191.0,not
13519,MMEL1,79258.0,NOT,0.9999998255230177,1988.5,not
13520,KCNN3,3782.0,NOT,0.9841243641540769,1561.0,not
13521,USP53,54532.0,NOT,0.9999999999989314,2268.5,not
13522,DRD4,1815.0,NOT,2.3888003147998977e-06,586.0,expressed
13523,TMEM175,84286.0,NOT,0.9999999999996698,2292.0,not
13524,UBE2D1,7321.0,NOT,0.7748680731861608,1359.0,not
