,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression,fdr,fdr_hypothesis
1085,RP11-565P22.6,0.0,ND,0.6887064978279134,596.0,not,0.7217109341812074,False
1086,RAD1,5810.0,ND,1.0235189212610724e-09,5.0,expressed,1.093136886055739e-08,True
1087,PDSS2,57107.0,NOT,7.524789949242506e-07,125.0,expressed,1.999242484976381e-06,True
1088,MAP4,4134.0,NOT,4.067656952108499e-08,69.0,expressed,1.4774763214397458e-07,True
1089,LDHD,197257.0,NOT,2.097895116486917e-08,57.0,expressed,8.37364559549711e-08,True
1090,RASAL1,8437.0,NOT,8.031090907046913e-10,1.0,expressed,1.093136886055739e-08,True
1091,DOC2A,8448.0,NOT,0.8355838689274765,616.0,not,0.8545800329004888,False
1092,C5orf56,0.0,ND,1.1548334686261787e-09,7.0,expressed,1.093136886055739e-08,True
1093,MTHFD2L,441024.0,ND,0.050607988130155566,435.0,not,0.06530611749820255,False
1094,FBXL2,25827.0,NOT,2.9254475329620983e-08,63.0,expressed,1.1113967657615927e-07,True
1095,KLF3,51274.0,ND,0.130855187958261,481.0,not,0.15835540259046998,False
1096,MPDZ,8777.0,ND,2.097895116486917e-08,57.0,expressed,8.37364559549711e-08,True
1097,PDE10A,10846.0,ND,0.49005996942969654,566.0,not,0.5315728768102668,False
1098,GALE,2582.0,ND,0.008286402940597707,364.0,expressed,0.011946887898416407,True
1099,GOSR2,9570.0,NOT,0.00318724930851193,332.0,expressed,0.004836164409709583,True
1100,AL353354.2,0.0,ND,0.9364261370248068,365.0,not,0.944352686345799,False
1101,CENPL,91687.0,NOT,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
1102,LYRM7,90624.0,ND,0.9192651438406544,627.0,not,0.9292162293649681,False
1103,C21orf128,0.0,NOT,1.0972275734771263e-05,182.0,expressed,2.3815311385623014e-05,True
1104,DHX57,90957.0,ND,1.383114626082743e-09,10.0,expressed,1.150375790350476e-08,True
1105,VMP1,81671.0,NOT,0.0036089309341836144,336.0,expressed,0.005439214961439709,True
1106,KDR,3791.0,NOT,6.759469873933762e-09,37.0,expressed,3.4333972970363346e-08,True
1107,FAM111B,374393.0,ND,8.53422673646545e-10,2.0,expressed,1.093136886055739e-08,True
1108,NME1,4830.0,ND,1.0235189212610724e-09,5.0,expressed,1.093136886055739e-08,True
1109,STK25,10494.0,ND,0.009544603414181752,369.0,expressed,0.013636839300305166,True
1110,SERTM1,400120.0,ND,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
1111,SPRR2E,6704.0,NOT,4.257180677571756e-09,22.0,expressed,2.4033593531062773e-08,True
1112,KCNQ5,56479.0,NOT,1.6329285453687908e-07,95.0,expressed,5.028313836229208e-07,True
1113,MLIP,90523.0,NOT,2.6045288894507434e-07,104.0,expressed,7.664946603962793e-07,True
1114,PGS1,9489.0,NOT,2.2479840144076452e-07,92.0,expressed,6.702437668086308e-07,True
1115,MARCH1,55016.0,NOT,2.7687864179239132e-08,62.0,expressed,1.0619623749919096e-07,True
1116,IGSF9B,22997.0,ND,0.8963138410681736,624.0,not,0.9095824240411619,False
1117,KCNH1,3756.0,NOT,2.2229371509078035e-07,83.0,expressed,6.659944377719789e-07,True
1118,IVNS1ABP,10625.0,NOT,0.00016350590049904026,247.0,expressed,0.0002972599906462766,True
1119,WDR83OS,51398.0,NOT,0.0008089702287814159,290.5,expressed,0.00133539997154314,True
1120,TCIRG1,10312.0,ND,2.8863964852459415e-07,106.0,expressed,8.40143206109918e-07,True
1121,NLE1,54475.0,NOT,1.8648014196095014e-09,15.0,expressed,1.3529796104054656e-08,True
1122,TIGD7,91151.0,ND,0.0015698643246456522,310.0,expressed,0.002488475519201105,True
1123,SCNN1D,6339.0,ND,0.0402356268160887,425.0,expressed,0.052674431206358494,False
1124,LYN,4067.0,NOT,2.3493381424195532e-07,102.0,expressed,6.975733312185937e-07,True
1125,MYOM3,127294.0,ND,0.0007950443242992001,290.0,expressed,0.0013126627833574195,True
1126,C1orf123,54987.0,NOT,4.253518335686794e-09,29.0,expressed,2.4033593531062773e-08,True
1127,RASSF8,11228.0,NOT,1.308784758233796e-08,41.0,expressed,5.816334428122499e-08,True
1128,MBOAT7,79143.0,ND,0.00011965517407476322,239.0,expressed,0.00022211939954239573,True
1129,NGLY1,55768.0,ND,0.0005787254970199935,281.0,expressed,0.0009742236368174223,True
1130,ST8SIA4,7903.0,NOT,3.1749592482457436e-09,24.0,expressed,1.9449440075689794e-08,True
1131,TBC1D12,23232.0,ND,4.778329681962615e-09,31.0,expressed,2.6163437482061546e-08,True
1132,SESN2,83667.0,ND,0.017793863530119643,392.0,expressed,0.024522456520368316,True
1133,DNAJC11,55735.0,ND,4.348016375331447e-05,214.0,expressed,8.592082233339138e-05,True
1134,VOPP1,81552.0,NOT,0.002177311550955709,320.0,expressed,0.0033824691585215712,True
1135,PBDC1,51260.0,ND,0.00398000978719147,323.0,expressed,0.005969841892309858,True
1136,GLTPD1,80772.0,NOT,0.030222575230003833,413.0,expressed,0.04027578393105888,True
1137,UTS2,10911.0,ND,0.9922978278911034,636.5,not,0.9932177850242399,False
1138,FILIP1L,11259.0,NOT,3.1749592482457436e-09,24.0,expressed,1.9449440075689794e-08,True
1139,SKA2,348235.0,ND,5.6363761403217416e-08,75.0,expressed,1.9630725367753647e-07,True
1140,GZMB,3002.0,ND,4.438832661741851e-05,202.0,expressed,8.766529579466159e-05,True
1141,A1BG,1.0,ND,0.13162821884536155,441.0,not,0.15927973385777675,False
