,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression
12654,MAPKAPK5,8550.0,ND,1.1090053874659725e-08,58.0,expressed
12655,FAM3C,10447.0,NOT,1.925605797783423e-08,68.0,expressed
12656,MOB3B,79817.0,NOT,0.9999999650360354,1196.0,not
12657,GCAT,23464.0,NOT,5.081551621753215e-08,86.0,expressed
12658,PTCH2,8643.0,ND,0.9922007022939204,888.0,not
12659,YIPF5,81555.0,ND,0.9975237771172748,895.0,not
12660,PCDHB10,56126.0,ND,0.010933975484429528,400.0,expressed
12661,HTR7,3363.0,NOT,1.3098967353630245e-08,61.0,expressed
12662,PCDHAC1,56135.0,ND,0.9999999901859634,1177.0,not
12663,TDRD6,221400.0,NOT,0.9999889535348954,1077.0,not
12664,KIAA1737,0.0,ND,0.9999952008025215,1096.0,not
12665,PRSS50,29122.0,ND,0.00025988672220156046,278.0,expressed
12666,CDK5R2,8941.0,NOT,4.501201598210424e-09,42.0,expressed
12667,WNT6,7475.0,ND,0.00018062394570763667,268.0,expressed
12668,ARL13B,200894.0,NOT,0.9953599395838949,907.0,not
12669,EFTUD1,79631.0,NOT,0.00012339025585402904,244.0,expressed
12670,ATP10B,23120.0,NOT,7.748397635704397e-08,94.0,expressed
12671,KIR3DL2,3812.0,ND,0.9999999994095223,1224.0,not
12672,C17orf100,388327.0,NOT,4.5313798412395915e-05,232.0,expressed
12673,SET,6418.0,ND,1.1978566162101143e-09,12.5,expressed
12674,CCM2L,140706.0,ND,0.9999999996221536,1275.0,not
12675,C2orf81,388963.0,NOT,0.9995432594536027,981.0,not
12676,AP006621.5,0.0,NOT,0.014390705580909456,411.0,expressed
12677,EGR3,1960.0,ND,0.9999982444196821,1118.0,not
12678,HCN2,610.0,ND,1.5190798036894266e-07,107.0,expressed
12679,HSPB3,8988.0,NOT,0.9501061796052332,808.0,not
12680,SLIT1,6585.0,NOT,0.9972780661917646,859.0,not
12681,ISM1,140862.0,NOT,0.9691126514237052,831.0,not
12682,PRICKLE4,29964.0,ND,0.9999996916592091,1154.0,not
12683,FAM3A,60343.0,ND,0.12237011071875259,517.0,not
12684,GMPPB,29925.0,ND,0.9999999826376728,1167.0,not
12685,SOCS4,122809.0,ND,0.9768912800027063,844.0,not
12686,RP11-977G19.10,0.0,NOT,1.1051134814974984e-05,186.0,expressed
12687,CISD2,493856.0,ND,3.3133473051800384e-08,78.0,expressed
12688,HOGA1,112817.0,NOT,0.4826754942287923,633.0,not
12689,BST1,683.0,NOT,0.9999999994225832,1268.0,not
12690,GRIK3,2899.0,NOT,0.986636400277712,867.0,not
12691,VPS29,51699.0,NOT,0.9790353787719229,817.0,not
12692,FCN3,8547.0,NOT,0.999999999622239,1275.0,not
12693,CAPN14,440854.0,NOT,5.650548426375979e-09,46.0,expressed
12694,ZZEF1,23140.0,NOT,0.9999999827465437,1209.0,not
12695,POU6F2,11281.0,ND,3.1310180963414964e-09,15.0,expressed
12696,VPS13D,55187.0,ND,0.9999999598749562,1152.0,not
12697,GPR17,2840.0,NOT,0.9999999996221536,1275.0,not
12698,ANXA8,653145.0,ND,1.0056478142820451e-07,99.0,expressed
12699,PFDN1,5201.0,NOT,0.9999999435016416,1187.0,not
12700,SEMA4D,10507.0,ND,0.5632755061011236,654.0,not
12701,MZF1,7593.0,NOT,0.9999401724129626,1036.0,not
12702,USP20,10868.0,ND,0.9960869111413799,913.0,not
12703,CDO1,1036.0,ND,0.9999999990675993,1260.0,not
12704,LAMA1,284217.0,ND,5.577679396715556e-07,133.0,expressed
12705,TUBA3D,7278.0,NOT,0.0001943938937549808,270.0,expressed
12706,LCLAT1,253558.0,NOT,3.778464727931783e-10,0.0,expressed
12707,FAU,2197.0,NOT,0.9919907339062245,887.0,not
12708,NOX5,79400.0,NOT,1.4580688752622206e-05,204.5,expressed
12709,SSNA1,8636.0,NOT,0.0970808014959137,503.0,not
12710,TTBK1,84630.0,NOT,5.982758703738161e-05,239.0,expressed
12711,HCST,10870.0,NOT,0.9999999993314566,1222.0,not
12712,SLC35G1,159371.0,ND,2.3164168428406076e-05,203.0,expressed
12713,TNFRSF10C,8794.0,ND,0.9999999995984454,1274.0,not
12714,DCTN5,84516.0,NOT,7.748397635704397e-08,94.0,expressed
12715,ADAMTSL4-AS1,0.0,NOT,0.9999997066914046,1155.0,not
12716,CTSV,1515.0,NOT,4.0146403401174867e-10,1.0,expressed
12717,MZT2B,80097.0,NOT,3.5797333111939803e-09,38.0,expressed
12718,E4F1,1877.0,ND,0.0002332288789180226,275.0,expressed
12719,SLC26A11,284129.0,ND,0.9997581824964099,999.0,not
12720,CHMP7,91782.0,NOT,0.9999685032596842,1052.0,not
12721,B4GALNT1,2583.0,NOT,1.4113274171169937e-09,22.0,expressed
12722,TNNI3K,51086.0,ND,0.9999999566845817,1192.0,not
12723,SNTG2,54221.0,NOT,0.9949533109127002,904.0,not
12724,C1QTNF3,114899.0,NOT,0.09874899228997114,504.0,not
12725,GTF2H2C,728340.0,NOT,0.9999999995732887,1273.0,not
12726,SMIM20,389203.0,NOT,0.9913993628165964,852.0,not
12727,BACE2,25825.0,ND,0.00039752216214960004,290.0,expressed
12728,OSMR,9180.0,NOT,0.02011781340804435,425.0,expressed
12729,PSORS1C1,170679.0,NOT,0.9999884683615452,1076.0,not
12730,TOM1L1,10040.0,NOT,0.010126877588740563,397.0,expressed
12731,GLIS2,84662.0,NOT,0.9999999827433902,1209.0,not
12732,FAM189A2,9413.0,NOT,0.9999999996221536,1275.0,not
12733,FCRL3,115352.0,NOT,0.9906277437766168,881.0,not
12734,AP4M1,9179.0,ND,0.008442864730812395,390.0,expressed
12735,CEP152,22995.0,ND,7.929825788261367e-09,52.0,expressed
12736,TOP2A,7153.0,ND,4.0155454535234565e-10,1.0,expressed
12737,GPRIN3,285513.0,NOT,0.9999999988857229,1257.0,not
12738,MTRNR2L12,100463486.0,NOT,0.9976255011041341,930.0,not
12739,ZSCAN16,80345.0,NOT,0.986962090590725,868.0,not
12740,PTTG1IP,754.0,NOT,0.9999999929141515,1225.0,not
12741,FAM65A,79567.0,ND,0.9999999995732887,1273.0,not
